ticket_id,created_date,created_hour,created_weekday,classroom,room_attributed,av_configuration,category,subcategory,is_display_signal,is_repeat_14d,status,resolution_hours,resolution_band,requester,assigned_technician
INC0200158,2025-04-06,11,Sunday,WIE-455,Yes,NVX early rollout (2021),AV Technical Support,Audio / microphone,No,No,Resolved,1.62,Same day (1-24h),Staff8209436,M. Reyes
INC0200631,2025-04-06,11,Sunday,WIE-251,Yes,Legacy matrix (2017),Lecture Capture,Capture scheduling / setup,No,No,Resolved,842.62,Over a week,Student5869019,A. Okafor
INC0200584,2025-04-06,14,Sunday,WIE-251,Yes,Legacy matrix (2017),AV Technical Support,No display / HDMI handshake,Yes,Yes,Open,,Open,Student4327381,D. Lindqvist
INC0200146,2025-04-07,9,Monday,WIE-343,Yes,Legacy matrix (2017),AV Technical Support,No display / HDMI handshake,Yes,Yes,Resolved,0.75,Under 1 hour,Staff5091082,D. Lindqvist
INC0200470,2025-04-07,9,Monday,WIE-148,Yes,NVX standard (2023),Webconferencing,Zoom/Teams AV routing,No,No,Resolved,0.07,Under 1 hour,Faculty8850031,D. Lindqvist
INC0200522,2025-04-07,13,Monday,Unattributed,No,Unattributed,AV Technical Support,No display / HDMI handshake,Yes,No,Resolved,0.72,Under 1 hour,Student8070110,A. Okafor
INC0200568,2025-04-08,8,Tuesday,WIE-246,Yes,NVX early rollout (2021),Lecture Capture,Capture scheduling / setup,No,No,Resolved,229.92,Over a week,Student8858188,M. Reyes
INC0200723,2025-04-09,10,Wednesday,WIE-142,Yes,Legacy matrix (2017),Setup & Configuration,Event / class AV setup,No,No,Resolved,41.5,Within a week,Faculty3179119,M. Reyes
INC0200281,2025-04-09,16,Wednesday,WIE-110,Yes,NVX standard (2023),Webconferencing,Zoom/Teams AV routing,No,No,Resolved,8.97,Same day (1-24h),Staff2845524,M. Reyes
INC0200542,2025-04-10,14,Thursday,Unattributed,No,Unattributed,Lecture Capture,Capture scheduling / setup,No,No,Resolved,2818.37,Over a week,Staff673232,M. Reyes
INC0200276,2025-04-11,16,Friday,WIE-110,Yes,NVX standard (2023),AV Technical Support,Podium PC / login,No,No,Resolved,18.47,Same day (1-24h),Faculty2963570,M. Reyes
INC0200069,2025-04-11,18,Friday,WIE-412,Yes,NVX standard (2023),AV Technical Support,Control system / touch panel,No,Yes,Resolved,6.4,Same day (1-24h),Faculty6915376,M. Reyes
INC0200041,2025-04-12,10,Saturday,WIE-105,Yes,NVX standard (2023),Equipment Maintenance & Repair,Projector lamp / image quality,No,No,Resolved,4.05,Same day (1-24h),Faculty8851022,M. Reyes
INC0200296,2025-04-13,11,Sunday,Unattributed,No,Unattributed,AV Technical Support,Audio / microphone,No,No,Resolved,39.12,Within a week,Faculty6114225,D. Lindqvist
INC0200627,2025-04-14,11,Monday,WIE-105,Yes,NVX standard (2023),Equipment Maintenance & Repair,Cabling / connectors,No,No,Resolved,1748.05,Over a week,Staff568138,S. Patel
INC0200569,2025-04-14,14,Monday,WIE-246,Yes,NVX early rollout (2021),Lecture Capture,Capture scheduling / setup,No,Yes,Resolved,6.33,Same day (1-24h),Faculty4931357,S. Patel
INC0200703,2025-04-15,9,Tuesday,WIE-355,Yes,Legacy matrix (2017),AV Technical Support,No display / HDMI handshake,Yes,No,Resolved,11.08,Same day (1-24h),Faculty2597070,R. Calloway
INC0200015,2025-04-15,10,Tuesday,WIE-148,Yes,NVX standard (2023),Lecture Capture,Recording failed / not captured,No,Yes,Resolved,0.68,Under 1 hour,Staff1222057,D. Lindqvist
INC0200337,2025-04-15,11,Tuesday,Unattributed,No,Unattributed,AV Technical Support,Control system / touch panel,No,No,Resolved,16.9,Same day (1-24h),Faculty8522511,J. Whitfield
INC0200112,2025-04-15,12,Tuesday,WIE-110,Yes,NVX standard (2023),Webconferencing,Camera / PTZ,No,No,Resolved,17.0,Same day (1-24h),Student2362599,A. Okafor
INC0200589,2025-04-16,16,Wednesday,Unattributed,No,Unattributed,AV Technical Support,Podium PC / login,No,No,Resolved,4.97,Same day (1-24h),Student8327419,M. Reyes
INC0200208,2025-04-17,9,Thursday,WIE-251,Yes,Legacy matrix (2017),Equipment Maintenance & Repair,Preventative maintenance,No,No,Resolved,2399.53,Over a week,Faculty8108193,D. Lindqvist
INC0200645,2025-04-17,13,Thursday,WIE-105,Yes,NVX standard (2023),Webconferencing,Camera / PTZ,No,No,Resolved,747.92,Over a week,Staff4743104,S. Patel
INC0200523,2025-04-17,16,Thursday,WIE-110,Yes,NVX standard (2023),AV Technical Support,Audio / microphone,No,No,Resolved,0.18,Under 1 hour,Student4902132,J. Whitfield
INC0200124,2025-04-19,14,Saturday,WIE-105,Yes,NVX standard (2023),AV Technical Support,Audio / microphone,No,No,Resolved,1.7,Same day (1-24h),Faculty5149456,E. Marsh
INC0200465,2025-04-19,17,Saturday,WIE-508,Yes,NVX standard (2023),AV Technical Support,Audio / microphone,No,No,Resolved,99.75,Within a week,Faculty3057273,E. Marsh
INC0200570,2025-04-20,16,Sunday,WIE-246,Yes,NVX early rollout (2021),Lecture Capture,Capture scheduling / setup,No,Yes,Resolved,8084.1,Over a week,Staff9656570,J. Whitfield
INC0200338,2025-04-21,11,Monday,Unattributed,No,Unattributed,AV Technical Support,Control system / touch panel,No,No,Resolved,502.73,Over a week,Faculty8956504,A. Okafor
INC0200113,2025-04-21,13,Monday,WIE-110,Yes,NVX standard (2023),Webconferencing,Camera / PTZ,No,Yes,Resolved,28.07,Within a week,Faculty4431570,A. Okafor
INC0200413,2025-04-22,17,Tuesday,WIE-306,Yes,NVX standard (2023),Lecture Capture,Recording failed / not captured,No,No,Resolved,198.63,Over a week,Faculty8543227,T. Nakamura
INC0200648,2025-04-22,18,Tuesday,WIE-105,Yes,NVX standard (2023),Setup & Configuration,Event / class AV setup,No,No,Resolved,1943.25,Over a week,Faculty5063233,M. Reyes
INC0200419,2025-04-23,9,Wednesday,WIE-246,Yes,NVX early rollout (2021),Setup & Configuration,Event / class AV setup,No,No,Resolved,56.63,Within a week,Student9041088,L. Ferreira
INC0200427,2025-04-23,18,Wednesday,Unattributed,No,Unattributed,AV Technical Support,No display / HDMI handshake,Yes,No,Resolved,2.28,Same day (1-24h),Faculty4168508,S. Patel
INC0200390,2025-04-23,18,Wednesday,WIE-312,Yes,Legacy matrix (2017),AV Technical Support,Podium PC / login,No,No,Resolved,20.55,Same day (1-24h),Staff3504056,L. Ferreira
INC0200297,2025-04-24,12,Thursday,WIE-205,Yes,NVX standard (2023),AV Technical Support,Audio / microphone,No,No,Resolved,0.27,Under 1 hour,Faculty4012643,S. Patel
INC0200646,2025-04-24,14,Thursday,WIE-105,Yes,NVX standard (2023),Webconferencing,Camera / PTZ,No,Yes,Resolved,24.55,Within a week,Staff5911365,R. Calloway
INC0200243,2025-04-24,16,Thursday,Unattributed,No,Unattributed,AV Technical Support,Audio / microphone,No,No,Resolved,0.4,Under 1 hour,Faculty4094539,D. Lindqvist
INC0200478,2025-04-26,15,Saturday,Unattributed,No,Unattributed,Consultation,AV consultation / training,No,No,Resolved,228.52,Over a week,Student5577018,E. Marsh
INC0200372,2025-04-28,9,Monday,Unattributed,No,Unattributed,AV Technical Support,No display / HDMI handshake,Yes,No,Resolved,0.87,Under 1 hour,Staff6219142,R. Calloway
INC0200466,2025-04-28,12,Monday,Unattributed,No,Unattributed,AV Technical Support,Audio / microphone,No,No,Resolved,8.97,Same day (1-24h),Faculty2626626,S. Patel
INC0200513,2025-04-28,16,Monday,WIE-306,Yes,NVX standard (2023),Equipment Maintenance & Repair,Projector lamp / image quality,No,No,Resolved,237.07,Over a week,Faculty8643506,M. Reyes
INC0200319,2025-04-29,8,Tuesday,WIE-110,Yes,NVX standard (2023),Lecture Capture,Capture scheduling / setup,No,No,Resolved,1.18,Same day (1-24h),Faculty7863327,S. Patel
INC0200189,2025-04-29,10,Tuesday,WIE-355,Yes,Legacy matrix (2017),Lecture Capture,Recording failed / not captured,No,No,Resolved,415.42,Over a week,Student2946323,S. Patel
INC0200256,2025-04-29,11,Tuesday,WIE-142,Yes,Legacy matrix (2017),Webconferencing,Zoom/Teams AV routing,No,No,Resolved,19.87,Same day (1-24h),Student8642263,A. Okafor
INC0200590,2025-04-29,13,Tuesday,WIE-343,Yes,Legacy matrix (2017),AV Technical Support,Podium PC / login,No,No,Resolved,35.0,Within a week,Student3894074,S. Patel
INC0200079,2025-04-30,10,Wednesday,WIE-318,Yes,NVX standard (2023),Setup & Configuration,Event / class AV setup,No,No,Resolved,839.35,Over a week,Staff5395564,A. Okafor
INC0200544,2025-04-30,10,Wednesday,WIE-142,Yes,Legacy matrix (2017),Equipment Maintenance & Repair,Cabling / connectors,No,No,Resolved,454.65,Over a week,Faculty7014617,R. Calloway
